moment,corrected
2018-12-17T00:00Z,0.520465183526878206
2018-12-24T00:00Z,0.952629370345343562
2018-12-31T00:00Z,0.501548954551788384
2019-01-07T00:00Z,0.476155095074246026
2019-01-14T00:00Z,0.467520095820927017
2019-01-21T00:00Z,0.461574724346070442
2019-01-28T00:00Z,0.456035023154668429
2019-02-04T00:00Z,0.435081393799918503
2019-02-11T00:00Z,0.441177245529720263
2019-02-18T00:00Z,0.431488395283200155
2019-02-25T00:00Z,0.433581270486923243
2019-03-04T00:00Z,0.418108307386478695
2019-03-11T00:00Z,0.422729323170344506
2019-03-18T00:00Z,0.41697662695194504
2019-03-25T00:00Z,0.414444545983542134
2019-04-01T00:00Z,0.470237407019044096
