moment,corrected
2018-12-17T00:00Z,1.52273049377152581
2018-12-24T00:00Z,1.76824015109988597
2018-12-31T00:00Z,1.68673732652101149
2019-01-07T00:00Z,1.69149623398708249
2019-01-14T00:00Z,1.57200257039306268
2019-01-21T00:00Z,1.89671446045684711
2019-01-28T00:00Z,1.55829159657641925
2019-02-04T00:00Z,1.66957015202277081
2019-02-11T00:00Z,1.5865376781068532
2019-02-18T00:00Z,1.91282980242874556
2019-02-25T00:00Z,1.63253063124220943
2019-03-04T00:00Z,1.73599017095006247
2019-03-11T00:00Z,1.65001877665301855
2019-03-18T00:00Z,1.90315334853971696
2019-03-25T00:00Z,1.537599873215721
2019-04-01T00:00Z,1.47642142794799835
