moment,corrected
2018-12-10T00:00Z,-8.84741207344521463
2018-12-17T00:00Z,-8.65911532232307302
2018-12-24T00:00Z,-8.43908600699434785
2018-12-31T00:00Z,-8.6623264750084914
2019-01-07T00:00Z,-8.70458803798255509
2019-01-14T00:00Z,-8.79215011649523959
2019-01-21T00:00Z,-8.61353007861457876
2019-01-28T00:00Z,-8.79718955756298904
2019-02-04T00:00Z,-8.74257496961763891
2019-02-11T00:00Z,-8.78061988218487244
2019-02-18T00:00Z,-8.56684778434269845
2019-02-25T00:00Z,-8.70207457078958591
2019-03-04T00:00Z,-8.70450165319148539
2019-03-11T00:00Z,-8.70944068262229187
2019-03-18T00:00Z,-8.59074224108328188
2019-03-25T00:00Z,-8.97751511041817274
2019-04-01T00:00Z,-9.02938819654083247
