moment,corrected,q0,q10,q50,q90,q100
2018-03-30T20:00Z,0.181607901931034987,0.179751407999999557,0.180498546400000126,0.181605224000000121,0.182575171200001302,0.183147208000001172
2018-03-31T20:00Z,0.180450147450000792,0.176206322000000526,0.177735089040000988,0.180605924000000861,0.182382725120000255,0.182994553600000387
2018-04-01T20:00Z,0.175921535500000698,0.169428000000001688,0.170523190400001023,0.173876156000000393,0.182692358000000971,0.183350264000001317
2018-04-02T20:00Z,0.174491280333334026,0.169262352000000504,0.170248727200000088,0.173142504000001196,0.179552168400000239,0.180300648000001118
2018-04-03T20:00Z,0.188780246691667264,0.174546214000001143,0.177434304000000875,0.180178247999999819,0.205083977800001982,0.207759472399999368
2018-04-04T20:00Z,0.179710562683334046,0.170129814799999224,0.170932944400000508,0.172898380200000368,0.205524745040001733,0.20868218480000067
2018-04-05T20:00Z,0.173874631500000598,0.173292880000001759,0.173320087600001033,0.174040336000000906,0.174296277600000604,0.174346952000000499
2018-04-10T20:00Z,0.161381339333334317,0.160657008000001156,0.160730595200000437,0.161371384000001505,0.162046178400000851,0.162301220000001578
2018-04-11T20:00Z,0.173632016400000672,0.160146064000000976,0.16075325800000026,0.177366415999999916,0.183123805600001077,0.183443640000001906
2018-04-12T20:00Z,0.180548153413334106,0.170199940000001604,0.171791878800001296,0.17890118459999993,0.193982192000000719,0.200007828000000387
2018-04-13T20:00Z,0.183462873000000887,0.176897156000000777,0.177972054400000163,0.1835211060000006,0.189251899200002432,0.191355804000002294
2018-04-15T20:00Z,0.172194254000000629,0.168294552000000763,0.168723242399999945,0.172205714000001286,0.175522922800001535,0.176151287999999795
2018-04-16T20:00Z,0.181581210933334208,0.172496320800000547,0.173642629959999795,0.178276752600001309,0.194394775279999987,0.198332508800001861
2018-04-18T20:00Z,0.200208007470968591,0.185832909600000207,0.187367394000000687,0.202380258800001656,0.21270222800000127,0.213964759999999643
2018-04-19T20:00Z,0.221269904235294856,0.207489252000002011,0.208573144800001498,0.222200964000000667,0.232395737600000624,0.233211908000001245
2018-04-20T20:00Z,0.218739582666667459,0.20036312000000045,0.201120219200000255,0.22187511000000093,0.232741802800000924,0.234355232000002189
2018-04-21T20:00Z,0.209840896333334026,0.205190095999999045,0.205323531200001602,0.206868118000000045,0.219367570000000012,0.2247281360000013
2018-04-22T20:00Z,0.242914555333333532,0.213129476000002427,0.214470919600000448,0.24446671800000086,0.269646142799999544,0.270648171999999576
2018-04-23T20:00Z,0.297471553793104304,0.230141172000001504,0.232489695199999596,0.319720112000000611,0.337462821600000518,0.340814768000001322
2018-04-24T20:00Z,0.331956387741936254,0.285648292000001192,0.297276472000001846,0.341459867999999389,0.358171443999999894,0.362285247999999171
2018-04-25T20:00Z,0.403903582616667034,0.382486315999999604,0.390161727599999786,0.395475837200000235,0.42309537008000131,0.426694255199999262
2018-04-26T20:00Z,0.401616379857143435,0.358426720000000643,0.372289926400000415,0.406349969999999949,0.422878092800001493,0.426775192000000914
2018-04-27T20:00Z,0.387942994061539204,0.36829110040000046,0.373157602000000033,0.390770616000000182,0.399806842000001161,0.402422204000000505
2018-04-28T20:00Z,0.416198792333333956,0.348958212000001211,0.353463002000001025,0.416675644000001455,0.486807245599999827,0.496733975999999799
2018-04-29T20:00Z,0.418070463833333905,0.370967440000001147,0.375058165599999938,0.402106909999999651,0.474818660800000292,0.483321256000001753
2018-04-30T20:00Z,0.440192000390244587,0.409742948000001661,0.420586332000000951,0.439895363999999844,0.459328376000000205,0.468848863999999921
2018-05-01T20:00Z,0.473986073888372605,0.400158332000000172,0.407810460239999617,0.443014333600000754,0.549011569280000722,0.56038757480000001
2018-05-02T20:00Z,0.455075447368421648,0.420075960000001913,0.425030450400001147,0.439027932000000121,0.501614069200000068,0.521337408000000835
2018-05-03T20:00Z,0.438310457253334118,0.40157564400000112,0.40717683920000064,0.419401767200000997,0.500833393640000346,0.508588356800000696
2018-05-04T20:00Z,0.549927788269767959,0.501586768000001015,0.511436777360000483,0.54972888960000077,0.582188514400000967,0.597565016000000782
2018-05-05T20:00Z,0.495208106518518987,0.460272528000000847,0.46087026400000114,0.495186904000000538,0.527565555200000036,0.533521571999999722
2018-05-06T20:00Z,0.445889565000000765,0.437537800000001198,0.441467748800000781,0.444638086000001209,0.451390909999999923,0.457409364000000096
2018-05-07T20:00Z,0.472341671066667357,0.419045176000000907,0.421312987200001043,0.479860696000000253,0.514842278399999964,0.517783471999999634
2018-05-08T20:00Z,0.47444933292307756,0.445558031999999216,0.44818855440000005,0.483778128000000862,0.496231414399999682,0.504299760000000319
2018-05-09T20:00Z,0.481082052217143508,0.437088637600000496,0.439497466239999912,0.479741804000001437,0.520904767680000824,0.521784997200001044
2018-05-10T20:00Z,0.499590385950000937,0.474790335999999868,0.482069788000001331,0.500389982000000622,0.513802951800000685,0.518329149199999506
2018-05-11T20:00Z,0.409776938777778543,0.397865152000001387,0.401736588000000339,0.410952936000000157,0.414942030000000628,0.418812164000001985
2018-05-12T20:00Z,0.406603544000000761,0.389878128000001212,0.39240761480000097,0.411136392000000406,0.416143801200000329,0.417174304000001328
2018-05-13T20:00Z,0.420283222242106014,0.40290384160000059,0.409545998080000306,0.423520766000001103,0.428295127200000347,0.42982413360000038
2018-05-14T20:00Z,0.398245306044445302,0.383718396000000794,0.385562766000001389,0.398212572600000314,0.413157412200001239,0.423416062000001148
2018-05-15T20:00Z,0.364444728307693033,0.358552868000000302,0.360098224000000577,0.361811968000000483,0.382090630000001319,0.383507964000001422
